
 START: 1/5 

Iteration 2 completed | Delta llk: 2861.570680 | Time: 3.38 sec
Iteration 3 completed | Delta llk: 243.320062 | Time: 6.01 sec
Iteration 4 completed | Delta llk: 87.251400 | Time: 1.31 sec
Iteration 5 completed | Delta llk: 40.602705 | Time: 1.23 sec
Iteration 6 completed | Delta llk: 25.540702 | Time: 1.32 sec
Iteration 7 completed | Delta llk: 19.316340 | Time: 1.92 sec
Iteration 8 completed | Delta llk: 16.584848 | Time: 2.10 sec
Iteration 9 completed | Delta llk: 14.763910 | Time: 1.72 sec
Iteration 10 completed | Delta llk: 12.472735 | Time: 1.13 sec
Iteration 11 completed | Delta llk: 9.338713 | Time: 4.80 sec
Iteration 12 completed | Delta llk: 5.936730 | Time: 4.39 sec
Iteration 13 completed | Delta llk: 3.185552 | Time: 3.51 sec
Iteration 14 completed | Delta llk: 1.489160 | Time: 2.27 sec
Iteration 15 completed | Delta llk: 0.638300 | Time: 1.01 sec
Iteration 16 completed | Delta llk: 0.263005 | Time: 3.04 sec
Iteration 17 completed | Delta llk: 0.107388 | Time: 1.24 sec
Iteration 18 completed | Delta llk: 0.044077 | Time: 1.10 sec
Iteration 19 completed | Delta llk: 0.018799 | Time: 0.79 sec
Iteration 20 completed | Delta llk: 0.007277 | Time: 0.74 sec
Iteration 21 completed | Delta llk: 0.003157 | Time: 0.53 sec
Iteration 22 completed | Delta llk: 0.001230 | Time: 0.31 sec
Iteration 23 completed | Delta llk: 0.000463 | Time: 0.36 sec
Iteration 24 completed | Delta llk: 0.000062 | Time: 0.10 sec
 START: 2/5 

Iteration 2 completed | Delta llk: 4666.139258 | Time: 6.96 sec
Iteration 3 completed | Delta llk: 156.663761 | Time: 1.60 sec
Iteration 4 completed | Delta llk: 54.764247 | Time: 0.90 sec
Iteration 5 completed | Delta llk: 38.826168 | Time: 1.02 sec
Iteration 6 completed | Delta llk: 24.416839 | Time: 3.89 sec
Iteration 7 completed | Delta llk: 10.508420 | Time: 1.06 sec
Iteration 8 completed | Delta llk: 3.941132 | Time: 1.49 sec
Iteration 9 completed | Delta llk: 1.857078 | Time: 1.29 sec
Iteration 10 completed | Delta llk: 1.196094 | Time: 5.52 sec
Iteration 11 completed | Delta llk: 0.942815 | Time: 1.26 sec
Iteration 12 completed | Delta llk: 0.820175 | Time: 3.49 sec
Iteration 13 completed | Delta llk: 0.748360 | Time: 2.10 sec
Iteration 14 completed | Delta llk: 0.694813 | Time: 2.47 sec
Iteration 15 completed | Delta llk: 0.652275 | Time: 5.25 sec
Iteration 16 completed | Delta llk: 0.617327 | Time: 3.65 sec
Iteration 17 completed | Delta llk: 0.584526 | Time: 1.14 sec
Iteration 18 completed | Delta llk: 0.554910 | Time: 1.09 sec
Iteration 19 completed | Delta llk: 0.527727 | Time: 1.19 sec
Iteration 20 completed | Delta llk: 0.503372 | Time: 1.31 sec
Iteration 21 completed | Delta llk: 0.477060 | Time: 1.17 sec
Iteration 22 completed | Delta llk: 0.453062 | Time: 1.11 sec
Iteration 23 completed | Delta llk: 0.430246 | Time: 1.17 sec
Iteration 24 completed | Delta llk: 0.408421 | Time: 1.11 sec
Iteration 25 completed | Delta llk: 0.387551 | Time: 1.09 sec
Iteration 26 completed | Delta llk: 0.367600 | Time: 1.08 sec
Iteration 27 completed | Delta llk: 0.348574 | Time: 1.13 sec
Iteration 28 completed | Delta llk: 0.330464 | Time: 1.20 sec
Iteration 29 completed | Delta llk: 0.313390 | Time: 1.10 sec
Iteration 30 completed | Delta llk: 0.296769 | Time: 1.18 sec
Iteration 31 completed | Delta llk: 0.281532 | Time: 1.17 sec
Iteration 32 completed | Delta llk: 0.269263 | Time: 1.21 sec
Iteration 33 completed | Delta llk: 0.259995 | Time: 1.08 sec
Iteration 34 completed | Delta llk: 0.259892 | Time: 1.01 sec
Iteration 35 completed | Delta llk: 0.268376 | Time: 0.99 sec
Iteration 36 completed | Delta llk: 0.284560 | Time: 0.99 sec
Iteration 37 completed | Delta llk: 0.307469 | Time: 0.92 sec
Iteration 38 completed | Delta llk: 0.337753 | Time: 0.96 sec
Iteration 39 completed | Delta llk: 0.373926 | Time: 1.08 sec
Iteration 40 completed | Delta llk: 0.415365 | Time: 1.67 sec
Iteration 41 completed | Delta llk: 0.461004 | Time: 2.85 sec
Iteration 42 completed | Delta llk: 0.510035 | Time: 0.74 sec
Iteration 43 completed | Delta llk: 0.560854 | Time: 0.77 sec
Iteration 44 completed | Delta llk: 0.612922 | Time: 0.74 sec
Iteration 45 completed | Delta llk: 0.665257 | Time: 0.81 sec
Iteration 46 completed | Delta llk: 0.716370 | Time: 0.76 sec
Iteration 47 completed | Delta llk: 0.765567 | Time: 1.03 sec
Iteration 48 completed | Delta llk: 0.814279 | Time: 0.73 sec
Iteration 49 completed | Delta llk: 0.860649 | Time: 0.68 sec
Iteration 50 completed | Delta llk: 0.905062 | Time: 0.67 sec
Iteration 51 completed | Delta llk: 0.947664 | Time: 0.67 sec
Iteration 52 completed | Delta llk: 0.988457 | Time: 0.70 sec
Iteration 53 completed | Delta llk: 1.027335 | Time: 2.79 sec
Iteration 54 completed | Delta llk: 1.064076 | Time: 0.83 sec
Iteration 55 completed | Delta llk: 1.098253 | Time: 1.00 sec
Iteration 56 completed | Delta llk: 1.128965 | Time: 0.71 sec
Iteration 57 completed | Delta llk: 1.155543 | Time: 1.20 sec
Iteration 58 completed | Delta llk: 1.176778 | Time: 0.90 sec
Iteration 59 completed | Delta llk: 1.191409 | Time: 0.83 sec
Iteration 60 completed | Delta llk: 1.198096 | Time: 0.80 sec
Iteration 61 completed | Delta llk: 1.195537 | Time: 0.81 sec
Iteration 62 completed | Delta llk: 1.182538 | Time: 0.80 sec
Iteration 63 completed | Delta llk: 1.157666 | Time: 0.83 sec
Iteration 64 completed | Delta llk: 1.121892 | Time: 0.83 sec
Iteration 65 completed | Delta llk: 1.074587 | Time: 0.86 sec
Iteration 66 completed | Delta llk: 1.016532 | Time: 0.81 sec
Iteration 67 completed | Delta llk: 0.949150 | Time: 0.79 sec
Iteration 68 completed | Delta llk: 0.874436 | Time: 0.79 sec
Iteration 69 completed | Delta llk: 0.794702 | Time: 0.94 sec
Iteration 70 completed | Delta llk: 0.712544 | Time: 0.77 sec
Iteration 71 completed | Delta llk: 0.630518 | Time: 0.77 sec
Iteration 72 completed | Delta llk: 0.550862 | Time: 0.75 sec
Iteration 73 completed | Delta llk: 0.475507 | Time: 0.75 sec
Iteration 74 completed | Delta llk: 0.405861 | Time: 0.88 sec
Iteration 75 completed | Delta llk: 0.342834 | Time: 2.11 sec
Iteration 76 completed | Delta llk: 0.286245 | Time: 1.48 sec
Iteration 77 completed | Delta llk: 0.237419 | Time: 1.78 sec
Iteration 78 completed | Delta llk: 0.195409 | Time: 1.93 sec
Iteration 79 completed | Delta llk: 0.159746 | Time: 1.47 sec
Iteration 80 completed | Delta llk: 0.130486 | Time: 1.39 sec
Iteration 81 completed | Delta llk: 0.104790 | Time: 4.17 sec
Iteration 82 completed | Delta llk: 0.084246 | Time: 1.88 sec
Iteration 83 completed | Delta llk: 0.067466 | Time: 1.30 sec
Iteration 84 completed | Delta llk: 0.053838 | Time: 0.97 sec
Iteration 85 completed | Delta llk: 0.042827 | Time: 0.89 sec
Iteration 86 completed | Delta llk: 0.033973 | Time: 0.80 sec
Iteration 87 completed | Delta llk: 0.026366 | Time: 0.68 sec
Iteration 88 completed | Delta llk: 0.021555 | Time: 0.77 sec
Iteration 89 completed | Delta llk: 0.016094 | Time: 0.43 sec
Iteration 90 completed | Delta llk: 0.013226 | Time: 0.24 sec
Iteration 91 completed | Delta llk: 0.009796 | Time: 0.24 sec
Iteration 92 completed | Delta llk: 0.007371 | Time: 0.27 sec
Iteration 93 completed | Delta llk: 0.005417 | Time: 0.24 sec
Iteration 94 completed | Delta llk: 0.008094 | Time: 0.63 sec
Iteration 95 completed | Delta llk: 0.003103 | Time: 0.35 sec
Iteration 96 completed | Delta llk: 0.002109 | Time: 0.36 sec
Iteration 97 completed | Delta llk: 0.001487 | Time: 0.26 sec
Iteration 98 completed | Delta llk: 0.004528 | Time: 0.70 sec
Iteration 99 completed | Delta llk: 0.000595 | Time: 0.37 sec
Iteration 100 completed | Delta llk: 0.001828 | Time: 0.70 sec
Iteration 101 completed | Delta llk: 0.001129 | Time: 0.61 sec
Iteration 102 completed | Delta llk: 0.000362 | Time: 0.39 sec
Iteration 103 completed | Delta llk: 0.000066 | Time: 0.17 sec
 START: 3/5 

Iteration 2 completed | Delta llk: 2499.540017 | Time: 1.84 sec
Iteration 3 completed | Delta llk: 73.507404 | Time: 2.61 sec
Iteration 4 completed | Delta llk: 33.062882 | Time: 1.59 sec
Iteration 5 completed | Delta llk: 18.583240 | Time: 1.36 sec
Iteration 6 completed | Delta llk: 12.582185 | Time: 2.36 sec
Iteration 7 completed | Delta llk: 9.391611 | Time: 3.41 sec
Iteration 8 completed | Delta llk: 375.389754 | Time: 2.88 sec
Iteration 9 completed | Delta llk: 103.405353 | Time: 1.92 sec
Iteration 10 completed | Delta llk: 77.360562 | Time: 1.31 sec
Iteration 11 completed | Delta llk: 75.034198 | Time: 1.31 sec
Iteration 12 completed | Delta llk: 85.390461 | Time: 1.26 sec
Iteration 13 completed | Delta llk: 112.520666 | Time: 1.28 sec
Iteration 14 completed | Delta llk: 145.821809 | Time: 1.64 sec
Iteration 15 completed | Delta llk: 151.256081 | Time: 1.47 sec
Iteration 16 completed | Delta llk: 107.521548 | Time: 0.73 sec
Iteration 17 completed | Delta llk: 58.334783 | Time: 6.49 sec
Iteration 18 completed | Delta llk: 28.510343 | Time: 1.59 sec
Iteration 19 completed | Delta llk: 13.117396 | Time: 1.06 sec
Iteration 20 completed | Delta llk: 5.817656 | Time: 0.78 sec
Iteration 21 completed | Delta llk: 2.572796 | Time: 3.58 sec
Iteration 22 completed | Delta llk: 1.161245 | Time: 1.86 sec
Iteration 23 completed | Delta llk: 0.540866 | Time: 2.99 sec
Iteration 24 completed | Delta llk: 0.260984 | Time: 1.25 sec
Iteration 25 completed | Delta llk: 0.130402 | Time: 2.36 sec
Iteration 26 completed | Delta llk: 0.067259 | Time: 1.03 sec
Iteration 27 completed | Delta llk: 0.035655 | Time: 1.08 sec
Iteration 28 completed | Delta llk: 0.018813 | Time: 1.04 sec
Iteration 29 completed | Delta llk: 0.010918 | Time: 0.95 sec
Iteration 30 completed | Delta llk: 0.006049 | Time: 1.95 sec
Iteration 31 completed | Delta llk: 0.003398 | Time: 1.04 sec
Iteration 32 completed | Delta llk: 0.001940 | Time: 0.87 sec
Iteration 33 completed | Delta llk: 0.000719 | Time: 1.18 sec
Iteration 34 completed | Delta llk: 0.001008 | Time: 0.89 sec
Iteration 35 completed | Delta llk: 0.000371 | Time: 1.86 sec
Iteration 36 completed | Delta llk: 0.000211 | Time: 1.14 sec
Iteration 37 completed | Delta llk: 0.000112 | Time: 0.90 sec
